conml,gvkey,Rating,state,year,PerCapitaIncome,GDP_per_capita,debt_at,debt_assets,debt_ebitda,cash_debt,ratio_year
Enbridge Energy Partners LP,24810,BBB,Texas,2009,36711,0.0468906945760827,0.458,0.544,4.227,0.119,2009
Roper Technologies Inc,24925,BBB-,Florida,2009,36611,0.0389037661363183,0.302,0.469,2.377,0.221,2009
infoGROUP Inc,24934,BB,Nebraska,2009,39264,0.0480544033347254,0.316,0.645,2.251,0.079,2009
Valassis Communications Inc.,25021,B+,Michigan,2009,34030,0.0369185820743353,0.637,0.981,4.772,0.052,2009
Time Warner Inc,25056,BBB,New York,2009,47277,0.0596151636918836,0.283,0.525,4.223,0.152,2009
MTR Gaming Group Inc,25079,B-,West Virginia,2009,31361,0.0341126489967664,0.721,0.814,5.296,0.034,2009
Mohawk Industries Inc.,25119,BB+,Georgia,2009,34042,0.0422069223434197,0.302,0.51,5.08,0.173,2009
AGCO Corp,25180,BB+,Georgia,2009,34042,0.0422069223434197,0.134,0.548,1.452,0.097,2009
Boston Scientific Corp,25279,BBB-,Massachusetts,2009,50942,0.0600331593790549,0.239,0.497,3.001,0.087,2009
Credit Acceptance Corp,25339,BB-,Michigan,2009,34030,0.0369185820743353,0.515,0.665,2.52,0.194,2009
Express Scripts Holding Co,25356,BBB,Missouri,2009,36182,0.0421739454274119,0.369,0.719,1.826,0.249,2009
General Cable Corp.,25405,BB-,Kentucky,2009,32157,0.0361445043564229,0.337,0.716,4.59,0.076,2009
Dynegy Inc.,25495,B,Texas,2009,36711,0.0468906945760827,0.449,0.703,7.208,0.033,2009
Superior Energy Services Inc.,25509,BB+,Texas,2009,36711,0.0468906945760827,0.287,0.505,1.34,0.316,2009
ASGN Inc,25749,B+,Virginia,2009,44122,0.051658485299593,0.28,0.408,3.0,0.193,2009
Petroquest Energy Inc,25874,B-,Louisiana,2009,36457,0.0461122064774444,0.474,0.631,-1.462,0.391,2009
HCC Insurance Holdings Inc.,25877,A,Texas,2009,36711,0.0468906945760827,0.047,0.681,0.785,0.089,2009
Radian Group Inc,25895,CCC,Pennsylvania,2009,40390,0.0455490619694324,0.126,0.761,-1.532,-0.055,2009
RailAmerica Inc.,25921,B+,Florida,2009,36611,0.0389037661363183,0.461,0.673,5.037,0.083,2009
Chart Industries Inc,25964,BB-,Georgia,2009,34042,0.0422069223434197,0.266,0.525,1.721,0.194,2009
Res-Care Inc,26004,BB-,Kentucky,2009,32157,0.0361445043564229,0.256,0.505,2.068,0.098,2009
SM Energy Co,26013,BB,Colorado,2009,39982,0.0500119363781992,0.22,0.575,7.324,0.433,2009
SEACOR Holdings Inc,26021,BBB-,Florida,2009,36611,0.0389037661363183,0.268,0.521,2.422,0.159,2009
Match Group Inc,26061,BB,Texas,2009,36711,0.0468906945760827,0.018,0.157,0.976,0.467,2009
Chesapeake Energy Corp,27786,BB,Oklahoma,2009,35338,0.0392348016393496,0.411,0.587,-1.716,0.236,2009
PRIMEDIA Inc,27882,B+,Georgia,2009,34042,0.0422069223434197,0.94,1.404,4.296,0.055,2009
Humana Inc.,27914,BBB-,Kentucky,2009,32157,0.0361445043564229,0.133,0.638,0.999,0.114,2009
Jarden Corp,27980,B+,Florida,2009,36611,0.0389037661363183,0.476,0.733,4.575,0.058,2009
Avient Corp,28194,B-,Ohio,2009,35532,0.0414630767768223,0.33,0.843,4.184,0.066,2009
Reinsurance Group of America Inc.,28216,A-,Missouri,2009,36182,0.0421739454274119,0.083,0.867,4.997,0.038,2009
XTO Energy Inc.,28256,BBB,Texas,2009,36711,0.0468906945760827,0.289,0.525,1.674,0.25,2009
Titan International Inc,28295,B+,Illinois,2009,41042,0.0504147762819672,0.333,0.541,3.872,0.136,2009
Clayton Williams Energy Inc,28296,B,Texas,2009,36711,0.0468906945760827,0.428,0.677,4.21,0.613,2009
Allstate Corp (The),28349,A-,Illinois,2009,41042,0.0504147762819672,0.042,0.892,-2.888,0.032,2009
Libbey Inc.,28462,B,Ohio,2009,35532,0.0414630767768223,0.629,0.993,8.131,-0.001,2009
Sun Healthcare Group Inc,28543,B,California,2009,42044,0.0519266039557289,0.46,0.727,4.239,0.077,2009
Stone Energy Corp,28564,B,Louisiana,2009,36457,0.0461122064774444,0.426,0.745,-0.646,0.344,2009
Brink's Co (The),28590,BBB,Virginia,2009,44122,0.051658485299593,0.116,0.791,0.736,0.283,2009
BorgWarner Inc,28742,BBB,Michigan,2009,34030,0.0369185820743353,0.174,0.55,3.712,0.154,2009
Landry's Restaurants Inc.,28765,B,Texas,2009,36711,0.0468906945760827,0.587,0.799,4.7,0.1,2009
Marriott International Inc,28930,BBB-,Maryland,2009,48755,0.0527693412732262,0.335,0.852,3.57,0.085,2009
Belden Inc,28940,BB-,Missouri,2009,36182,0.0421739454274119,0.372,0.657,4.438,0.161,2009
LodgeNet Interactive Corp,28998,B-,South Dakota,2009,39395,0.0450290991949863,0.951,1.167,4.293,0.125,2009
OM Group Inc,29001,BB-,Missouri,2009,36182,0.0421739454274119,0.009,0.162,0.21,0.671,2009
Boyd Gaming Corp,29011,BB-,Nevada,2009,36078,0.0450662186902276,0.593,0.75,8.73,0.064,2009
Gibraltar Industries Inc,29131,B+,New York,2009,47277,0.0596151636918836,0.293,0.485,6.575,0.187,2009
Itron Inc,29133,B+,Washington,2009,41958,0.0530497826297585,0.346,0.572,4.812,0.105,2009
Ameristar Casinos Inc,29143,BB,Nevada,2009,36078,0.0450662186902276,0.744,0.835,5.196,0.127,2009
Newfield Exploration Co,29173,BB+,Texas,2009,36711,0.0468906945760827,0.347,0.57,-0.947,0.211,2009
Astoria Financial Corp,29246,BBB-,New York,2009,47277,0.0596151636918836,0.292,0.944,48.412,0.011,2009
New York Community Bancorp Inc.,29282,BBB-,New York,2009,47277,0.0596151636918836,0.422,0.87,23.208,0.009,2009
Eastman Chemical Co,29392,BBB,Tennessee,2009,34260,0.0397048280381014,0.273,0.706,2.235,0.175,2009
Cheniere Energy Inc.,29453,CCC+,Texas,2009,36711,0.0468906945760827,1.087,1.138,-98.139,-0.043,2009
Cytec Industries Inc.,29511,BBB-,New Jersey,2009,50149,0.0555312473088658,0.22,0.583,3.221,0.106,2009
Health Net Inc.,29710,BB-,California,2009,42044,0.0519266039557289,0.132,0.631,1.306,-0.052,2009
Martin Marietta Materials Inc.,29733,BBB+,North Carolina,2009,35802,0.0430530777815616,0.412,0.61,3.124,0.17,2009
Mobile Mini Inc,29734,BB-,Arizona,2009,33418,0.0384295572833325,0.51,0.625,5.114,0.086,2009
Albemarle Corp,29751,BBB,North Carolina,2009,35802,0.0430530777815616,0.32,0.584,3.183,0.18,2009
AK Steel Holding Corp,29968,BB-,Ohio,2009,35532,0.0414630767768223,0.138,0.807,-1.016,0.022,2009
Ingersoll Rand Inc,30098,BB,North Carolina,2009,35802,0.0430530777815616,0.233,0.501,1.787,0.243,2009
Thermadyne Holdings Corp,30198,B-,Missouri,2009,36182,0.0421739454274119,0.474,0.743,7.322,0.04,2009
McMoRan Exploration Co,30234,B,Louisiana,2009,36457,0.0461122064774444,0.29,0.776,7.951,0.61,2009
Penn National Gaming Inc,30259,BB-,Pennsylvania,2009,40390,0.0455490619694324,0.46,0.591,4.476,0.134,2009
AirTran Holdings Inc.,30399,CCC+,Florida,2009,36611,0.0389037661363183,0.518,0.837,4.286,-0.099,2009
GEO Group Inc (The),30536,BB-,Florida,2009,36611,0.0389037661363183,0.391,0.545,3.081,0.101,2009
Sirius XM Holdings Inc,30662,B-,New York,2009,47277,0.0596151636918836,0.434,0.986,7.096,-0.02,2009
Reliance Steel & Aluminum Co,30671,BBB-,California,2009,42044,0.0519266039557289,0.293,0.483,3.726,0.241,2009
Protection One Inc,30720,B+,Kansas,2009,39088,0.0440496077246334,0.832,1.13,6.156,0.083,2009
Media General Inc,30950,D,Virginia,2009,44122,0.051658485299593,2.365,2.688,30.374,-0.034,2009
Capital One Financial Corp.,30990,BBB,Virginia,2009,44122,0.051658485299593,0.136,0.847,7.06,0.025,2009
Stillwater Mining Co,31203,B,Colorado,2009,39982,0.0500119363781992,0.293,0.416,-10.612,0.379,2009
Rent-A-Center Inc,31460,BB,Texas,2009,36711,0.0468906945760827,0.383,0.533,1.033,0.271,2009
Speedway Motorsports Inc,31560,BB,North Carolina,2009,35802,0.0430530777815616,0.341,0.57,2.906,0.123,2009
Riviera Holdings Corp,31634,D,Nevada,2009,36078,0.0450662186902276,1.076,1.246,10.643,0.016,2009
PMI Group Inc.,31707,CCC+,California,2009,42044,0.0519266039557289,0.098,0.775,-0.563,0.072,2009
Sinclair Broadcast Group Inc,60800,B,Maryland,2009,48755,0.0527693412732262,0.797,1.075,6.872,0.112,2009
Cameron International Corp,60894,BBB+,Texas,2009,36711,0.0468906945760827,0.227,0.578,1.403,0.276,2009
DISH Network Corp,60900,BB-,Colorado,2009,39982,0.0500119363781992,0.727,1.221,1.908,0.26,2009
Westinghouse Air Brake Technologies Corp,60979,BB,Pennsylvania,2009,40390,0.0455490619694324,0.257,0.537,1.727,0.185,2009
Graftech International Ltd,61153,BB-,Ohio,2009,35532,0.0414630767768223,0.061,0.414,0.344,0.567,2009
Cenveo Inc.,61338,B+,Connecticut,2009,59973,0.0665172481271444,0.838,1.139,6.888,0.118,2009
Hanover Insurance Group Inc (The),61408,BBB-,Massachusetts,2009,50942,0.0600331593790549,0.055,0.741,1.733,0.022,2009
Diamond Offshore Drilling Inc.,61409,A-,Texas,2009,36711,0.0468906945760827,0.14,0.352,0.336,1.019,2009
DaVita Inc,61483,BB-,Colorado,2009,39982,0.0500119363781992,0.499,0.691,3.192,0.108,2009
Qwest Communications International Inc.,61489,BB,Louisiana,2009,36457,0.0461122064774444,0.688,1.058,3.128,0.135,2009
SanDisk Corp,61513,B,California,2009,42044,0.0519266039557289,0.188,0.406,-4.493,0.032,2009
Lexmark International Inc.,61552,BBB-,Kentucky,2009,32157,0.0361445043564229,0.208,0.719,1.363,0.197,2009
Hartford Financial Services Group Inc. (The),61739,BBB,Connecticut,2009,59973,0.0665172481271444,0.025,0.959,-2.633,0.015,2009
Southern Copper Corp,61811,BBB-,Arizona,2009,33418,0.0384295572833325,0.232,0.379,1.126,0.726,2009
Iron Mountain Inc,62374,BB-,Massachusetts,2009,50942,0.0600331593790549,0.502,0.704,3.852,0.118,2009
JDA Software Group Inc,62399,BB-,Arizona,2009,33418,0.0384295572833325,0.0,0.258,0.0,0.353,2009
Century Aluminum Co,62516,B,Illinois,2009,41042,0.0504147762819672,0.217,0.498,-4.165,-0.618,2009
Dean Foods Co,62655,BB-,Texas,2009,36711,0.0468906945760827,0.593,0.87,5.163,0.111,2009
Travelers Companies Inc (The),62689,A-,New York,2009,47277,0.0596151636918836,0.057,0.759,1.259,0.037,2009
FTI Consulting Inc.,62823,BB+,District of Columbia,2009,60448,0.170402108647345,0.263,0.431,1.84,0.207,2009
Trico Marine Services Inc,62870,CCC+,Texas,2009,36711,0.0468906945760827,0.625,0.814,7.745,0.076,2009
Tupperware Brands Corp,62897,BB+,Florida,2009,36611,0.0389037661363183,0.303,0.712,1.809,0.098,2009
Lamar Advertising Co,63422,B+,Louisiana,2009,36457,0.0461122064774444,0.692,0.793,6.341,0.106,2009
Steinway Musical Instruments Inc.,63424,B,Massachusetts,2009,50942,0.0600331593790549,0.417,0.646,7.196,0.024,2009
Carriage Services Inc,63456,B,Texas,2009,36711,0.0468906945760827,0.405,0.76,5.947,0.059,2009
E*TRADE Financial Corporation,63501,CCC,Virginia,2009,44122,0.051658485299593,0.298,0.94,-59.943,0.049,2009
Calpine Corp,63605,B,Texas,2009,36711,0.0468906945760827,0.515,0.775,7.757,0.03,2009
Ocwen Financial Corp,63639,B-,Florida,2009,36611,0.0389037661363183,0.572,0.659,5.305,0.076,2009
Cornell Companies Inc.,63707,B+,Florida,2009,36611,0.0389037661363183,0.496,0.625,3.556,0.144,2009
Penske Automotive Group Inc,63847,B+,Michigan,2009,34030,0.0369185820743353,0.6,0.773,9.71,0.127,2009
NOV Inc,63892,A-,Texas,2009,36711,0.0468906945760827,0.04,0.388,0.266,0.262,2009
Ingram Micro Inc.,63919,BBB-,California,2009,42044,0.0519266039557289,0.057,0.606,1.012,0.125,2009
L-1 Identity Solutions Inc,63959,BB-,Massachusetts,2009,50942,0.0600331593790549,0.342,0.46,8.936,0.085,2009
Steel Dynamics Inc,64030,BB+,Indiana,2009,34102,0.0404841372744056,0.468,0.649,14.353,0.214,2009
Quest Diagnostics Inc,64166,BBB+,New Jersey,2009,50149,0.0555312473088658,0.367,0.555,1.907,0.222,2009
Silgan Holdings Inc,64389,BB+,Connecticut,2009,59973,0.0665172481271444,0.427,0.743,2.203,0.211,2009
Deltek Inc,64423,BB-,Virginia,2009,44122,0.051658485299593,0.793,1.06,3.528,0.172,2009
TiVo Corp,64480,BB-,California,2009,42044,0.0519266039557289,0.273,0.365,3.606,0.06,2009
Euronet Worldwide Inc,64536,BB,Kansas,2009,39088,0.0440496077246334,0.255,0.641,2.642,0.094,2009
Brigham Exploration Co,64741,B-,Texas,2009,36711,0.0468906945760827,0.707,0.818,-0.989,0.189,2009
Knoll Inc,64745,BB,Pennsylvania,2009,40390,0.0455490619694324,0.493,0.913,2.871,0.172,2009
Amazon.com Inc,64768,BBB,Washington,2009,41958,0.0530497826297585,0.083,0.611,0.483,0.301,2009
Helix Energy Solutions Group Inc,65006,B+,Texas,2009,36711,0.0468906945760827,0.375,0.658,7.792,0.128,2009
Archrock Inc,65009,BB,Texas,2009,36711,0.0468906945760827,0.431,0.657,3.892,0.125,2009
Outerwall Inc,65026,BB,Washington,2009,41958,0.0530497826297585,0.403,0.691,2.491,0.268,2009
CoreCivic Inc,65084,BB,Tennessee,2009,34260,0.0397048280381014,0.426,0.531,3.047,0.183,2009
Jones Lang LaSalle Inc,65108,BBB-,Illinois,2009,41042,0.0504147762819672,0.153,0.592,1.8,0.017,2009
CommScope Inc.,65142,BB-,North Carolina,2009,35802,0.0430530777815616,0.448,0.685,3.563,0.118,2009
Trailer Bridge Inc,65148,B-,Florida,2009,36611,0.0389037661363183,0.906,1.012,5.727,0.035,2009
Kendle International Inc,65317,B+,Ohio,2009,35532,0.0414630767768223,0.302,0.618,2.85,0.1,2009
American Capital Ltd,65345,B-,Maryland,2009,48755,0.0527693412732262,0.612,0.652,8.499,0.081,2009
Solutia Inc.,65350,B+,Missouri,2009,36182,0.0421739454274119,0.379,0.851,3.731,-0.122,2009
YUM! Brands Inc.,65417,BBB-,Kentucky,2009,32157,0.0361445043564229,0.515,0.941,1.681,0.229,2009
Stoneridge Inc.,65590,B+,Michigan,2009,34030,0.0369185820743353,0.508,0.787,35.011,0.146,2009
Choice Hotels International Inc.,65615,BBB,Maryland,2009,48755,0.0527693412732262,0.867,1.407,1.741,0.224,2009
Mac-Gray Corp,65630,BB-,Massachusetts,2009,50942,0.0600331593790549,0.599,0.789,3.994,0.145,2009
Fairchild Semiconductor International Inc.,65643,BB-,California,2009,42044,0.0519266039557289,0.296,0.426,4.039,0.235,2009
Group 1 Automotive Inc.,65718,B+,Texas,2009,36711,0.0468906945760827,0.542,0.666,7.495,0.101,2009
Mettler-Toledo International Inc,65772,BBB,Ohio,2009,35532,0.0414630767768223,0.251,0.658,1.347,0.193,2009
Sonic Automotive Inc.,65831,CCC+,North Carolina,2009,35802,0.0430530777815616,0.685,0.888,9.197,0.054,2009
Affiliated Managers Group Inc.,65886,BBB-,Florida,2009,36611,0.0389037661363183,0.453,0.501,3.548,0.132,2009
Ingredion Inc,66016,BBB,Illinois,2009,41042,0.0504147762819672,0.258,0.529,2.133,-0.044,2009
Hawk Corp,66050,B,Ohio,2009,35532,0.0414630767768223,0.404,0.66,3.455,0.157,2009
Dollar Thrifty Automotive Group Inc.,66061,B-,Oklahoma,2009,35338,0.0392348016393496,0.907,0.917,4.24,0.155,2009
United Rentals Inc.,66065,B,Connecticut,2009,59973,0.0665172481271444,0.804,1.009,4.476,0.181,2009
Waddell & Reed Financial Inc.,66599,BBB,Kansas,2009,39088,0.0440496077246334,0.248,0.589,1.213,0.273,2009
American Tower Corp,105365,BB+,Massachusetts,2009,50942,0.0600331593790549,0.518,0.629,4.047,0.148,2009
Amkor Technology Inc,110039,B+,Arizona,2009,33418,0.0384295572833325,0.646,0.893,3.18,0.283,2009
Infinity Property and Casualty Corp,110065,BBB,Alabama,2009,32608,0.0355465960254211,0.114,0.686,2.365,0.018,2009
L3 Technologies Inc,110685,BBB-,New York,2009,47277,0.0596151636918836,0.307,0.585,2.469,0.162,2009
Dex Media Inc,111631,D,Texas,2009,36711,0.0468906945760827,0.81,1.042,7.148,0.044,2009
Townsquare Media Inc,111974,CCC,New York,2009,47277,0.0596151636918836,0.999,1.122,9.067,0.075,2009
Cumulus Media Inc,112030,B-,Georgia,2009,34042,0.0422069223434197,1.395,1.584,9.469,0.097,2009
King Pharmaceuticals Inc.,112033,BB,Tennessee,2009,34260,0.0397048280381014,0.248,0.394,1.653,0.236,2009
Republic Services Inc.,112168,BBB,Arizona,2009,33418,0.0384295572833325,0.374,0.623,3.284,0.041,2009
Centrus Energy Corp,112759,CCC+,Maryland,2009,48755,0.0527693412732262,0.186,0.634,7.03,-0.055,2009
Convergys Corp,113419,BB+,Ohio,2009,35532,0.0414630767768223,0.226,0.592,2.023,0.114,2009
Crown Castle International Corp,113490,B+,Texas,2009,36711,0.0468906945760827,0.593,0.703,6.603,0.07,2009
Leap Wireless International Inc,114484,B-,California,2009,42044,0.0519266039557289,0.511,0.664,6.601,0.104,2009
eBay Inc.,114524,A-,California,2009,42044,0.0519266039557289,0.031,0.275,0.19,0.639,2009
Popeyes Louisiana Kitchen Inc,114608,B+,Georgia,2009,34042,0.0422069223434197,0.84,1.235,2.808,0.158,2009
Goldman Sachs Group Inc (The),114628,A,New York,2009,47277,0.0596151636918836,0.563,0.925,14.574,0.002,2009
GeoEye Inc,114748,B,Virginia,2009,44122,0.051658485299593,0.31,0.699,2.417,-0.003,2009
Spanish Broadcasting System Inc,117145,CCC+,Florida,2009,36611,0.0389037661363183,0.694,0.904,10.552,0.005,2009
American Axle & Manufacturing Holdings Inc,117861,CCC+,Michigan,2009,34030,0.0369185820743353,0.572,1.288,18.496,-0.061,2009
Gamco Investors Inc,118264,BBB,New York,2009,47277,0.0596151636918836,0.29,0.351,3.346,0.742,2009
Life Technologies Corp,118577,BBB-,California,2009,42044,0.0519266039557289,0.383,0.599,4.429,0.066,2009
Quicksilver Resources Inc,118795,B+,Texas,2009,36711,0.0468906945760827,0.665,0.795,-2.489,0.139,2009
Booking Holdings Inc,119314,BB,Connecticut,2009,59973,0.0665172481271444,0.204,0.386,0.684,0.514,2009
Pepsi Bottling Group Inc.,119417,A,New York,2009,47277,0.0596151636918836,0.449,0.791,3.291,0.122,2009
Stancorp Financial Group Inc.,119756,A-,Oregon,2009,35481,0.0421611353253164,0.037,0.898,1.283,0.027,2009
CNX Resources Corp,120093,BB+,Pennsylvania,2009,40390,0.0455490619694324,0.132,0.742,0.75,0.181,2009
LifePoint Health Inc,120297,BB-,Tennessee,2009,34260,0.0397048280381014,0.38,0.542,3.2,0.16,2009
Urban One Inc,120301,CCC+,Maryland,2009,48755,0.0527693412732262,0.623,0.746,7.502,0.017,2009
tw telecom inc,120359,B+,Colorado,2009,39982,0.0500119363781992,0.574,0.708,3.292,0.181,2009
WESCO International Inc,120444,BB-,Pennsylvania,2009,40390,0.0455490619694324,0.376,0.681,4.019,0.141,2009
US Concrete Inc,120824,CCC+,Texas,2009,36711,0.0468906945760827,0.637,0.884,22.76,0.069,2009
Reynolds American Inc,120877,BBB-,North Carolina,2009,35802,0.0430530777815616,0.256,0.652,1.731,0.113,2009
SBA Communications Corp,121382,B+,Florida,2009,36611,0.0389037661363183,0.755,0.81,7.797,0.064,2009
Salem Media Group Inc,121817,B,California,2009,42044,0.0519266039557289,0.536,0.666,5.898,0.087,2009
Petrohawk Energy Corp,121934,B+,Texas,2009,36711,0.0468906945760827,0.383,0.512,-1.065,0.174,2009
Biomarin Pharmaceutical Inc,122257,B,California,2009,42044,0.0519266039557289,0.645,0.677,9.339,0.012,2009
Lennox International Inc.,122380,BB+,Texas,2009,36711,0.0468906945760827,0.21,0.692,1.707,0.153,2009
BB Liquidating Inc,122514,B-,Texas,2009,36711,0.0468906945760827,0.452,0.9,1.478,0.026,2009
inVentiv Group Holdings Inc,124050,BB-,Massachusetts,2009,50942,0.0600331593790549,0.373,0.632,2.969,0.144,2009
Blackrock Inc,124434,A+,New York,2009,47277,0.0596151636918836,0.057,0.367,0.738,0.26,2009
Pactiv Corp,125533,BBB,Illinois,2009,41042,0.0504147762819672,0.359,0.782,1.722,0.114,2009
Charter Communications Inc,126136,BB-,Connecticut,2009,59973,0.0665172481271444,1.31,1.659,7.983,0.016,2009
Expedia Group Inc,126296,BBB-,Washington,2009,41958,0.0530497826297585,0.176,0.587,1.351,0.148,2009
Alaska Communications Systems Group Inc,126555,B+,Alaska,2009,47069,0.0710430035985377,0.752,0.968,4.511,0.127,2009
BGC Partners Inc,127377,BBB-,New York,2009,47277,0.0596151636918836,0.104,0.704,1.314,0.323,2009
Packaging Corp Of America,128978,BBB,Illinois,2009,41042,0.0504147762819672,0.34,0.622,1.829,0.214,2009
Mediacom Communications Corp,129442,B+,New York,2009,47277,0.0596151636918836,0.907,1.113,6.395,0.066,2009
Gentiva Health Services Inc,130200,B+,Georgia,2009,34042,0.0422069223434197,0.241,0.476,1.905,0.148,2009
Metlife Inc.,133768,A-,New York,2009,47277,0.0596151636918836,0.047,0.946,3.211,0.022,2009
ON Semiconductor Corp,134932,BB-,Arizona,2009,33418,0.0384295572833325,0.43,0.632,3.232,0.237,2009
Frontier Communications Corp,135484,BB,Connecticut,2009,59973,0.0665172481271444,0.697,0.932,4.252,0.116,2009
NRG Energy Inc,135990,BB-,New Jersey,2009,50149,0.0555312473088658,0.329,0.694,2.566,0.085,2009
Basic Energy Services Inc,137024,B,Texas,2009,36711,0.0468906945760827,0.429,0.615,5.687,0.297,2009
Charles River Laboratories International Inc,137131,BBB-,Massachusetts,2009,50942,0.0600331593790549,0.245,0.412,1.817,0.291,2009
Janus Capital Group Inc,137232,BB+,Colorado,2009,39982,0.0500119363781992,0.39,0.596,4.988,0.139,2009
Entravision Communications Corp.,137943,B,California,2009,42044,0.0519266039557289,0.683,0.815,7.267,0.092,2009
American Medical Systems Holdings Inc,138741,BB-,Minnesota,2009,41015,0.0493283632535996,0.439,0.564,2.853,0.176,2009
Equinix Inc,138743,B+,California,2009,42044,0.0519266039557289,0.504,0.62,4.112,0.172,2009
TTM Technologies Inc,139804,BB-,California,2009,42044,0.0519266039557289,0.269,0.398,2.484,0.302,2009
GenOn Energy Inc,140033,B+,Texas,2009,36711,0.0468906945760827,0.238,0.626,1.712,0.105,2009
NII Holdings Inc,140902,B+,Virginia,2009,44122,0.051658485299593,0.43,0.618,2.332,0.241,2009
RRI Energy Inc,140977,B+,Texas,2009,36711,0.0468906945760827,0.279,0.573,27.035,0.027,2009
Massey Energy Co,141400,BB-,Virginia,2009,44122,0.051658485299593,0.367,0.688,2.491,0.146,2009
Encore Acquisition Co.,142382,BB-,Texas,2009,36711,0.0468906945760827,0.344,0.571,4.284,0.308,2009
Peabody Energy Corp,142460,BB+,Missouri,2009,36182,0.0421739454274119,0.295,0.651,1.916,0.186,2009
Phoenix Cos Inc. (The),142462,B-,Connecticut,2009,59973,0.0665172481271444,0.02,0.962,-3.371,0.002,2009
FMC Technologies Inc,142811,BBB,Texas,2009,36711,0.0468906945760827,0.12,0.753,0.679,0.087,2009
Mondelez International Inc,142953,A-,Illinois,2009,41042,0.0504147762819672,0.317,0.633,3.372,0.101,2009
Prudential Financial Inc,143356,A,New Jersey,2009,50149,0.0555312473088658,0.077,0.961,38.241,0.025,2009
Zimmer Biomet Holdings Inc,144559,A-,Indiana,2009,34102,0.0404841372744056,0.08,0.223,0.397,0.655,2009
Asbury Automotive Group Inc,144640,B+,Georgia,2009,34042,0.0422069223434197,0.709,0.841,9.138,0.37,2009
Anthem Inc,145046,A-,Indiana,2009,34102,0.0404841372744056,0.184,0.552,1.962,0.094,2009
WW International Inc,145308,BB,New York,2009,47277,0.0596151636918836,1.428,1.752,3.61,0.121,2009
AMERIGROUP Corp,145367,BB,Virginia,2009,44122,0.051658485299593,0.134,0.54,1.112,0.067,2009
Centene Corp,145552,BB-,Missouri,2009,36182,0.0421739454274119,0.18,0.642,1.593,0.234,2009
Principal Financial Group Inc.,145701,BBB+,Iowa,2009,37136,0.0451123523263443,0.014,0.964,2.864,0.018,2009
Advance Auto Parts Inc.,145977,BB+,North Carolina,2009,35802,0.0430530777815616,0.138,0.605,0.712,0.253,2009
Alere Inc,146156,B+,Massachusetts,2009,50942,0.0600331593790549,0.28,0.473,3.807,0.055,2009
Lorillard Inc,147175,BBB-,North Carolina,2009,35802,0.0430530777815616,0.141,0.78,0.236,0.58,2009
JetBlue Airways Corp,147305,B-,New York,2009,47277,0.0596151636918836,0.521,0.779,7.1,-0.004,2009
Netflix Inc,147579,BB-,California,2009,42044,0.0519266039557289,0.066,0.464,0.185,1.049,2009
Regal Entertainment Group,147638,B+,Tennessee,2009,34260,0.0397048280381014,0.776,1.095,3.967,0.095,2009
FairPoint Communications Inc,148217,D,North Carolina,2009,35802,0.0430530777815616,0.769,1.008,7.674,0.017,2009
Great Lakes Dredge & Dock Corp,148223,B,Texas,2009,36711,0.0468906945760827,0.326,0.647,2.773,0.034,2009
Mariner Energy Inc,148281,B+,Texas,2009,36711,0.0468906945760827,0.378,0.697,-1.474,0.379,2009
Quality Distribution Inc,148313,B-,Florida,2009,36611,0.0389037661363183,0.881,1.15,6.767,0.042,2009
Knology Inc,148476,B,Georgia,2009,34042,0.0422069223434197,0.942,1.076,4.392,0.114,2009
LIN Media LLC,148531,B-,Texas,2009,36711,0.0468906945760827,0.866,1.222,8.208,0.084,2009
CME Group Inc,149070,AA,Illinois,2009,41042,0.0504147762819672,0.073,0.537,1.571,0.041,2009
Citadel Broadcasting Corp.,149089,D,Nevada,2009,36078,0.0450662186902276,0.907,1.123,8.856,0.048,2009
Nexstar Media Group Inc.,149177,B-,Texas,2009,36711,0.0468906945760827,1.065,1.264,10.126,0.077,2009
Freeport-McMoRan Oil & Gas Inc,149268,BB,Texas,2009,36711,0.0468906945760827,0.337,0.608,-0.738,0.29,2009
Wynn Resorts Ltd,149318,BB,Nevada,2009,36078,0.0450662186902276,0.632,0.74,7.597,0.102,2009
Nasdaq Inc,149337,BBB-,New York,2009,47277,0.0596151636918836,0.191,0.633,3.044,0.048,2009
Hornbeck Offshore Services Inc.,150258,BB-,Louisiana,2009,36457,0.0461122064774444,0.411,0.55,3.429,0.224,2009
Cimarex Energy Co.,150699,BB,Colorado,2009,39982,0.0500119363781992,0.177,0.439,-0.353,0.753,2009
Virgin Media Inc,153668,B+,Colorado,2009,39982,0.0500119363781992,0.639,0.813,5.39,0.094,2009
CapitalSource Inc.,154755,B+,California,2009,42044,0.0519266039557289,0.626,0.832,25.108,0.187,2009
ModivCare Inc,154758,B-,Colorado,2009,39982,0.0500119363781992,0.615,0.876,4.819,0.038,2009
Whiting Petroleum Corp,155393,BB,Colorado,2009,39982,0.0500119363781992,0.251,0.479,2.018,0.344,2009
LKQ Corp,155394,BB-,Illinois,2009,41042,0.0504147762819672,0.33,0.444,2.673,0.154,2009
Nelnet Inc.,155738,BBB-,Nebraska,2009,39264,0.0480544033347254,0.964,0.976,38.448,0.012,2009
American Equity Investment Life Holding Co,156383,BB+,Iowa,2009,37136,0.0451123523263443,0.04,0.968,13.903,0.013,2009
Interline Brands Inc.,156933,BB-,Florida,2009,36611,0.0389037661363183,0.374,0.547,4.05,0.104,2009
